,num_variables_before,poly_len,time,monomial_or_graph_based,Selection_type,gen_type,num_variables_after,density_deg1,density_deg2,density_deg3,density_deg4,density_deg1r,density_deg2r,density_deg3r,density_deg4r
0,20,1048575,535.8783617019653,graph_based,1.0,"(20, 20, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.11176727111266165,0,0
1,20,1048574,534.8892784118652,graph_based,1.0,"(20, 19, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.11176716539407923,0,0
2,20,1048554,569.5083367824554,graph_based,1.0,"(20, 18, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.11176505102243084,0,0
3,20,1048364,560.006600856781,graph_based,1.0,"(20, 17, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.11174496449177113,0,0
4,20,1047224,550.4116199016571,graph_based,1.0,"(20, 16, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.11162444530781286,0,0
5,20,1042379,525.9042091369629,graph_based,1.0,"(20, 15, 1.0)",6484,1.0,1.0,1.0,1.0,1.0,0.05020899818373741,0,0
6,20,1026875,528.9472045898438,graph_based,1.0,"(20, 14, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.10947317787415789,0,0
7,20,988115,475.6921138763428,graph_based,1.0,"(20, 13, 1.0)",4350,1.0,1.0,1.0,1.0,1.0,0.10537552561957697,0,0
8,20,910595,403.0897870063782,graph_based,1.0,"(20, 12, 1.0)",4349,1.0,1.0,1.0,1.0,1.0,0.09722471068965934,0,0
9,20,784625,308.2658197879791,graph_based,1.0,"(20, 11, 1.0)",4303,1.0,1.0,1.0,1.0,1.0,0.08569491860899918,0,0
10,20,616665,215.5723876953125,graph_based,1.0,"(20, 10, 1.0)",4147,1.0,1.0,1.0,1.0,1.0,0.07269030518693675,0,0
11,20,431909,119.37170934677124,graph_based,1.0,"(20, 9, 1.0)",3624,1.0,1.0,1.0,1.0,1.0,0.06688580256504464,0,0
12,20,263949,44.29061818122864,graph_based,1.0,"(20, 8, 1.0)",2627,1.0,1.0,1.0,1.0,1.0,0.0780294040648245,0,0
13,20,137979,17.455284595489502,graph_based,1.0,"(20, 7, 1.0)",1855,1.0,1.0,1.0,1.0,1.0,0.08236231416301026,0,0
14,20,60459,5.0415802001953125,graph_based,1.0,"(20, 6, 1.0)",1577,1.0,1.0,1.0,1.0,1.0,0.051142051508196826,0,0
15,20,21699,1.0978670120239258,graph_based,1.0,"(20, 5, 1.0)",598,1.0,1.0,1.0,1.0,1.0,0.12792502086799662,0,0
16,20,6195,0.2636876106262207,graph_based,1.0,"(20, 4, 1.0)",210,1.0,1.0,1.0,1.0,1.0,0.2987012987012987,0,0
17,20,1350,0.12119603157043457,graph_based,1.0,"(20, 3, 1.0)",114,1.0,1.0,1.0,0.0,1.0,0.23567768979972054,0,0
18,20,210,0.001071929931640625,graph_based,1.0,"(20, 2, 1.0)",20,1.0,1.0,0.0,0.0,1.0,1.0,0,0
19,20,20,0.0009021759033203125,graph_based,1.0,"(20, 1, 1.0)",20,1.0,0.0,0.0,0.0,1.0,0.0,0,0
20,19,524287,243.09098172187805,graph_based,1.0,"(19, 19, 1.0)",2302,1.0,1.0,1.0,1.0,1.0,0.19967671669213438,0,0
21,19,524286,231.10564255714417,graph_based,1.0,"(19, 18, 1.0)",2542,1.0,1.0,1.0,1.0,1.0,0.1638937320934317,0,0
22,19,524267,221.39142274856567,graph_based,1.0,"(19, 17, 1.0)",3262,1.0,1.0,1.0,1.0,1.0,0.0997865828264887,0,0
23,19,524096,225.0775978565216,graph_based,1.0,"(19, 16, 1.0)",3262,1.0,1.0,1.0,1.0,1.0,0.09975443205856478,0,0
24,19,523127,222.54678416252136,graph_based,1.0,"(19, 15, 1.0)",3262,1.0,1.0,1.0,1.0,1.0,0.09957224437366262,0,0
25,19,519251,221.9351658821106,graph_based,1.0,"(19, 14, 1.0)",3262,1.0,1.0,1.0,1.0,1.0,0.09884349363405394,0,0
26,19,507623,214.67701530456543,graph_based,1.0,"(19, 13, 1.0)",2542,1.0,1.0,1.0,1.0,1.0,0.15873428719434013,0,0
27,19,480491,189.9243450164795,graph_based,1.0,"(19, 12, 1.0)",2542,1.0,1.0,1.0,1.0,1.0,0.1503332754316232,0,0
28,19,430103,152.10956025123596,graph_based,1.0,"(19, 11, 1.0)",3011,1.0,1.0,1.0,1.0,1.0,0.09622921932978856,0,0
29,19,354521,100.77560639381409,graph_based,1.0,"(19, 10, 1.0)",2871,1.0,1.0,1.0,1.0,1.0,0.0874310812073638,0,0
30,19,262143,58.74494433403015,graph_based,1.0,"(19, 9, 1.0)",2231,1.0,1.0,1.0,1.0,1.0,0.10715217491804234,0,0
31,19,169765,26.784699201583862,graph_based,1.0,"(19, 8, 1.0)",1879,1.0,1.0,1.0,1.0,1.0,0.09831549988352856,0,0
32,19,94183,10.590623617172241,graph_based,1.0,"(19, 7, 1.0)",1387,1.0,1.0,1.0,1.0,1.0,0.10081242957955287,0,0
33,19,43795,3.437274217605591,graph_based,1.0,"(19, 6, 1.0)",990,1.0,1.0,1.0,1.0,1.0,0.09338685132416173,0,0
34,19,16663,0.8451938629150391,graph_based,1.0,"(19, 5, 1.0)",503,1.0,1.0,1.0,1.0,1.0,0.13949767530276508,0,0
35,19,5035,0.21860146522521973,graph_based,1.0,"(19, 4, 1.0)",190,1.0,1.0,1.0,1.0,1.0,0.2984126984126984,0,0
36,19,1159,0.024768829345703125,graph_based,1.0,"(19, 3, 1.0)",102,1.0,1.0,1.0,0.0,1.0,0.2535430013589594,0,0
37,19,190,0.0006868839263916016,graph_based,1.0,"(19, 2, 1.0)",19,1.0,1.0,0.0,0.0,1.0,1.0,0,0
38,19,19,8.034706115722656e-05,graph_based,1.0,"(19, 1, 1.0)",19,1.0,0.0,0.0,0.0,1.0,0.0,0,0
39,18,262143,96.14701652526855,graph_based,1.0,"(18, 18, 1.0)",1278,1.0,1.0,1.0,1.0,1.0,0.32431866059315956,0,0
